ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback,day_chg,mt_state,mt_spread_pct,mt_ema_fast,mt_ema_slow
PEG,241,-0.01,-1.95,0.0045,False,False,False,False,False,False,True,False,False,76.44,80.9,80.82,81.07,-13.2,-0.89,-5.0,False,-1.68,FRESH_BEAR,-0.66,80.13,80.66
URI,242,-0.01,-4.9,0.0028,True,False,True,False,True,True,True,True,False,961.15,822.49,848.04,867.99,-5.2,2.79,-1.2,False,-1.21,FRESH_BULL,2.11,869.93,851.99
AIZ,243,-0.01,-2.11,0.0027,True,True,True,False,True,True,True,True,False,254.61,225.83,226.32,222.03,0.0,6.23,0.0,False,0.75,BULL,2.0,231.43,226.89
TMUS,244,-0.03,-4.31,0.0063,False,False,False,False,False,False,False,False,False,185.22,200.74,203.84,213.01,-27.5,-4.34,-4.7,False,-1.58,BEAR,-2.81,198.17,203.9
EA,245,-0.03,-1.29,0.024,False,True,True,False,False,True,True,False,False,200.64,201.75,201.85,195.26,-1.9,0.1,-0.6,False,-0.07,BULL,1.38,201.51,198.76
BF-B,246,-0.03,-5.09,0.005,False,False,False,False,True,False,True,False,False,26.38,26.33,27.27,27.5,-24.5,-4.7,-4.7,True,1.11,BEAR,-0.91,27.13,27.38
RL,247,-0.03,-3.57,0.0075,False,True,True,True,False,False,True,False,False,326.81,353.77,351.22,339.11,-16.1,-8.83,-12.2,False,-2.17,BULL,1.65,354.17,348.43
CEG,248,-0.04,-5.45,0.0069,False,False,False,False,False,False,False,False,False,267.2,297.42,324.08,325.31,-33.7,-12.0,-17.2,False,-2.93,BEAR,-2.85,296.91,305.61
ES,249,-0.04,-3.43,0.0107,False,True,True,True,False,False,True,False,False,67.17,69.48,69.26,68.11,-10.9,0.99,-3.3,False,-2.38,BULL,0.35,69.0,68.76
TROW,250,-0.05,-5.7,0.0083,True,False,True,False,True,False,True,True,False,102.01,94.88,98.19,99.18,-5.0,-3.15,-3.9,True,-0.39,FRESH_BULL,0.42,97.79,97.38
SNPS,252,-0.06,-7.78,0.0082,True,False,False,False,True,True,True,True,False,502.42,447.22,449.9,474.47,-22.1,-2.72,-2.7,True,-1.49,FRESH_BULL,0.8,463.29,459.63
USB,253,-0.06,-4.64,0.0123,True,True,True,True,False,False,True,False,False,53.12,53.83,52.33,50.82,-11.6,-4.34,-5.4,False,-0.56,BULL,2.38,54.36,53.09
JPM,254,-0.07,-4.26,0.0153,False,True,True,False,False,False,True,False,False,297.81,299.68,304.86,302.93,-10.5,-1.42,-5.4,False,-0.7,BULL,0.29,301.98,301.09
HON,255,-0.08,-5.71,0.0142,False,True,False,True,False,False,True,False,False,213.24,224.47,213.61,210.14,-14.0,0.06,-2.7,False,-2.06,BULL,1.1,220.93,218.53
PNC,256,-0.15,-6.62,0.023,True,True,True,True,False,False,True,False,False,212.84,212.95,206.56,203.3,-11.5,-1.85,-4.3,False,-0.29,BULL,2.09,214.92,210.52
CL,257,-0.2,-8.05,0.0243,True,True,False,True,True,False,True,False,False,88.13,85.89,83.57,82.96,-10.6,0.66,-0.8,False,-0.8,BULL,0.96,86.81,85.99
